,Audio,SpeakerRole,Transcript,Word2Vec,Loudness,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,ZCR,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Mel_7,Mel_8,Mel_9,Mel_10,Mel_11,Mel_12,EmotionScore
0,./data/audio/agent/4413490f33f34e54.wav,agent,hello this is harper valley national bank my name is jennifer how can i help you today,"[-0.03469612  0.16780157  0.7841582   0.63351226  0.71071655 -0.24228981
  0.30453813  0.39408493 -0.8909431  -0.06979737 -0.08181396 -0.91724426
 -0.13417147  0.29918447  0.16204043  0.3932674  -0.34251025  0.28225517
 -0.07335726 -1.0831269   0.18371035  0.71355695  0.30625418 -0.3907554
 -0.34149283  0.6847634  -0.13003212 -0.0517756  -0.3887355  -0.07856706
  0.06098032 -0.44382054  0.32819667 -0.3367453   0.24460799  0.74726367
  0.12833849 -0.07286969 -0.1263064  -0.3670287   0.62506014 -0.53473026
 -0.6986096   0.65526986  0.61998147 -0.01852551 -0.7101401  -0.03708796
  0.60877013 -0.23920685 -0.40598276  0.06279472  0.70676905 -0.03678343
  0.60470736  0.30027387 -0.01797092 -0.17839123  0.29481995  0.15813434
 -0.2509067  -0.2858242  -0.06873771  0.18588321 -0.05276498  0.17011835
 -0.22819597  0.94790024  0.22051653  0.37892014  0.02501266  0.01542677
  0.29657105  0.32220867  0.12767191  0.2220068   0.41265845 -0.5637368
  0.40325272 -0.8623483  -0.5756713  -0.15440665 -0.04521187 -0.31231943
 -0.21566741  0.03552813  0.04508539 -0.21330279  0.34747964  0.39068308
  0.14909951  0.23426363  0.45625937  0.08312701  0.397997    0.7266658
  0.09531601 -0.08109485  0.4080361  -0.32063454]",-0.6264425793893941,0.7269859503349726,0.6510738828720312,0.3021289979912001,0.11632442909169527,0.08880966866533839,0.10541074591895776,0.08286742968128621,-0.00958208545887833,-0.05735834521160949,-0.03453108582500009,-0.02517501402670547,0.0015623048936249616,-0.5221772277039487,-0.5446566171941024,-0.5697068942374628,-0.2968385266076306,-0.6632271234344765,-0.7100259887044492,-0.6260485835387907,-0.7233978672013447,-0.6192590987198902,-0.538617902262791,-0.6843517136101459,-0.5312552025145426,-0.536185567594957,-0.5982040964131147,-0.6573553957278204,-0.44515911311521394,-0.5627045220721959,-0.6388324130417322,-0.6794176911670374,-0.7046672286638982,-0.6160627403621554,-0.6510769351422053,-0.7116903166189857,-0.7150649765995173,-0.6611356722049334,"{'neutral': 0.29863229393959045, 'negative': 0.010981430299580097, 'positive': 0.6903862953186035}"
1,./data/audio/caller/4413490f33f34e54.wav,caller,hi my name is,"[ 0.10761015  0.24417967  0.8836616  -0.10019008  1.3082747  -0.6579387
  0.1029959   1.0796069  -0.8292903  -0.8240224   0.11951459 -0.800593
 -0.7079406   0.12387335  0.60803103  0.80418944 -0.6568066   0.21352464
 -0.10463379 -0.6503008  -0.15453357  0.91257     0.17718413 -0.8646242
 -0.46080953  0.70174813  0.2900373  -0.24884862 -0.1220735  -0.20219928
  0.05454931 -1.1738547  -0.07699011 -0.31309056  0.197184    0.6353351
  0.09903803  0.06628801  0.18909353 -0.3077265   1.0076892  -0.3888743
 -0.54363596  0.5739897   1.1026405   0.81651604 -0.552544    0.42050168
  0.30206808 -0.23828293 -0.39179978 -0.07990907  0.8099023   0.00797126
  0.4320534   0.4833961   0.07655085 -0.01971314  0.6008018   0.01245824
 -0.37081897  0.20956668 -0.40767068  0.17838034 -0.15602517  0.45100126
  0.00722739  1.110889    0.25598112  0.638322   -0.13017195  0.10743615
  0.6396265   0.36129174  0.3122345  -0.10284513  0.08122571 -0.2802719
  0.27555865 -1.168329   -0.39748964  0.3137325  -0.3493978  -0.5371235
  0.26015404  0.4178183  -0.12325339 -0.24509777  0.09901115 -0.05842794
  0.07655837  0.23115541  0.59049076  0.44971386  0.40870976  1.0803299
 -0.15811124 -0.39432555 -0.09607206 -0.56195015]",-0.5168310775314177,0.6399252960125864,0.6030186645281372,0.5375304850245414,0.42805240274599193,0.2923813766710326,0.19745132986849942,0.12014787778170323,0.09254111442515116,0.10010768086922249,0.11666894776830782,0.13574028447590794,0.11960984703742243,-0.5253693541578724,-0.4249204799604926,-0.417610239195822,-0.4054972906927257,-0.38574200886798904,-0.4925510735600378,-0.49636146941229087,-0.5987784422703833,-0.5365341869534827,-0.5025598633376447,-0.6019971029110144,-0.5974387183555153,-0.608137037227532,-0.6368275588676651,-0.6622349485893303,-0.6704772274260683,-0.4966080239383457,-0.6711448015741185,-0.6534609646434322,-0.541369970202216,-0.5491310701509471,-0.6515193919679182,-0.69879919908294,-0.6979626048563455,-0.7481560155463888,"{'neutral': 0.46963220834732056, 'negative': 0.18115052580833435, 'positive': 0.3492172956466675}"
2,./data/audio/caller/4413490f33f34e54.wav,caller,john miller i would like to schedule an appointment,"[ 0.39195177  0.23778848  0.28203887 -0.46453765  0.8744454  -0.54211324
  0.11356803  1.1090842  -0.16274764 -0.84610397  0.17543942 -0.352252
 -0.6143028  -0.03627609  0.43466     0.46094763 -0.39121297 -0.12470438
  0.00155914 -0.2763637  -0.2750647   0.30879912 -0.01033607 -0.74826545
 -0.2167111   0.07378896  0.39175823 -0.19692929  0.09204157  0.11949247
  0.2199036  -0.7993276   0.04075291 -0.31880262 -0.17311884  0.38782847
  0.07489111  0.37831795 -0.0505411  -0.206854    0.4079815   0.11978179
 -0.06954292  0.17390688  0.6858594   0.60751337 -0.07730369  0.45845854
 -0.18929403  0.0936329   0.02849935 -0.33771625  0.2787709  -0.04116161
 -0.24043806  0.1298212   0.12848516  0.08159802  0.04541833  0.05217636
 -0.26967388  0.35232627 -0.07710928  0.08377976 -0.27661538  0.4341773
  0.2571874   0.55621845 -0.14566971  0.29997605 -0.2064446   0.22009163
  0.37699342  0.08523361  0.52655953 -0.26367012  0.03542168  0.05254991
 -0.02880207 -0.38075757  0.09285533  0.36222804 -0.30779284 -0.498552
  0.38320783  0.3590776   0.00937372  0.03361658  0.04841329 -0.22028852
  0.30167526  0.23617458  0.26260838  0.50050956  0.3492258   0.51089555
 -0.25768566 -0.39148155 -0.03729537 -0.22509806]",-0.36615759355949445,0.6649837237722577,0.6383895939543603,0.5670841231440673,0.41135431990737065,0.2361553519345542,0.17181847615484402,0.18667705084990524,0.24080228191337957,0.2809388675929981,0.27291159130541315,0.25300343982576795,0.24959772887991816,-0.47414062229005527,-0.5561957198650664,-0.49852293529845176,-0.1817334765815001,-0.6947901949704814,-0.7168512733960649,-0.6307506421609342,-0.5281811848477413,-0.3986584555398252,-0.5744617025956112,-0.6330113084309569,-0.6639205109953876,-0.6807986050781145,-0.6808720394743215,-0.7149133891663434,-0.6739114585982763,-0.8129714139657235,-0.8204702135610763,-0.7759447191100977,-0.7184627242654353,-0.6843714279969139,-0.7283303297366848,-0.7714542151337106,-0.7714419762382106,-0.7370629334605603,"{'neutral': 0.3544359803199768, 'negative': 0.03710765019059181, 'positive': 0.6084563136100769}"
3,./data/audio/agent/4413490f33f34e54.wav,agent,what day would you like for your appointment,"[ 0.32125738  0.23648083  0.05897543 -0.6282646   0.6922082  -0.55383116
  0.11723294  1.270227   -0.13996552 -0.901481    0.06896906 -0.34727004
 -0.639619   -0.08209897  0.4442899   0.23905447 -0.21539426 -0.17836471
  0.00163549 -0.34059066 -0.2975819   0.12100817  0.07730027 -0.6791104
 -0.08992666 -0.06858785  0.3140902  -0.17798787  0.11135824  0.31033003
  0.36301228 -0.7211255   0.05058509 -0.4810291  -0.33027998  0.30522576
 -0.0108029   0.5045448  -0.09396242 -0.25903088  0.23726127  0.1483049
 -0.0424205   0.1637633   0.5012287   0.44342673  0.07979304  0.41443714
 -0.3797717   0.21111368  0.2510723  -0.5197838   0.13948828 -0.14572923
 -0.5276375   0.00803818  0.25442037  0.01817192 -0.15457961  0.12990063
 -0.16896895  0.3058312   0.21623558  0.06862298 -0.38922852  0.6139375
  0.44127667  0.5729557  -0.34718347  0.16923283 -0.16177575  0.28457955
  0.42400235  0.05514782  0.6426406  -0.24807324  0.04394515  0.16211306
 -0.14587152 -0.15778583  0.16239125  0.3055777  -0.30098283 -0.40436748
  0.43755773  0.26511276  0.14168854  0.09347357  0.11172749 -0.26769787
  0.5482013   0.31323022  0.2753103   0.42877802  0.47456425  0.51398194
 -0.10515808 -0.42560914  0.06588204 -0.14766382]",-0.5915610932423269,0.8304071557007179,0.7755915781240291,0.5328179882976448,0.3515820343227065,0.19362688194025654,0.037364887857167184,-0.08063047605063522,-0.07613123232764875,0.04255298043744665,0.27490093696031465,0.47517097492922805,0.4569831443781247,-0.48095849379546424,-0.30521109509735606,-0.07768825862099671,-0.5451310601186367,-0.6145175553921681,-0.6697363681868639,-0.6825348232783105,-0.6037021595859343,-0.6736098965865441,-0.6579079908486202,-0.5945338713168999,-0.7362547240528464,-0.6155559178975937,-0.4201619909046039,-0.7170321425752215,-0.783232204024351,-0.6500531684384601,-0.7646678345074465,-0.7696267325035885,-0.7515947098517648,-0.7435660403096253,-0.7538683307024415,-0.7406345979495882,-0.778463339354583,-0.7028919302069108,"{'neutral': 0.4950815439224243, 'negative': 0.11842413246631622, 'positive': 0.38649433851242065}"
4,./data/audio/caller/4413490f33f34e54.wav,caller,thursday,"[ 0.16133086  0.12291355 -0.03965377  0.09254227 -0.03939706 -0.17484789
  0.23475218  0.26699746 -0.06611189 -0.18835635 -0.0597111  -0.18955825
  0.02199243  0.01832498  0.01998153  0.02959744 -0.00344298 -0.17515162
  0.04674606 -0.21305235  0.07460579 -0.09830406  0.03666828 -0.1427323
 -0.0508391  -0.11159628 -0.02683989 -0.08858776 -0.02270468  0.05896505
  0.09143976 -0.0018353   0.22926304 -0.11777389 -0.093023    0.22026093
  0.13704549  0.15439129 -0.13888416 -0.12023573 -0.0209763   0.03911605
  0.02693875 -0.07186307  0.07195085 -0.02126395 -0.02998674 -0.04633162
  0.10659975  0.09182861  0.12315402 -0.21189842  0.03231226 -0.06979709
 -0.09012749  0.03814938  0.0225998   0.0486736  -0.2809996   0.1422831
 -0.10655994  0.01976955  0.0742913   0.02303632 -0.10416394  0.20176357
  0.04684586  0.06880768 -0.18170524  0.08965221 -0.1450703   0.12815575
  0.13616247 -0.10118812  0.26772115 -0.01461915  0.09712142 -0.01133004
 -0.04146132  0.13729037 -0.03285388  0.07070714 -0.11160335  0.06664871
 -0.11375251 -0.01484479  0.10725778  0.19790775  0.22066966  0.01151172
  0.20734236  0.1443853  -0.12354854  0.07771942  0.1986991  -0.06142398
 -0.10690694 -0.09744101  0.0991298   0.04105321]",-0.4958807064179893,0.5544495579452474,0.2780215356236951,0.19349579588889373,0.1897677431263718,0.20227945579690879,0.2703899144875045,0.3430964637315715,0.4234421976392689,0.5248528601844079,0.6480254281738109,0.7061937113254774,0.7087401613241742,-0.21604468139121596,-0.3093481267381506,-0.7014517792914527,-0.7420821598371412,-0.7450900563332908,-0.6512686150241609,-0.1371979003406887,-0.4562622133743994,-0.5971890373853074,-0.5421444698761894,-0.3730673973202216,-0.22346204474092768,-0.44586416551116753,-0.7672892168108909,-0.7646759800305135,-0.7641663856688585,-0.7645235117161834,-0.7227815086068586,-0.3210668486682276,-0.6542164499951766,-0.7441658128358274,-0.7697750718255408,-0.7458141399714355,-0.6691989853891277,-0.6764276061742898,"{'neutral': 0.5020580291748047, 'negative': 0.33461472392082214, 'positive': 0.16332723200321198}"
5,./data/audio/agent/4413490f33f34e54.wav,agent,what time would you like for your appointment,"[ 0.5049574   0.2617899   0.08802438 -0.6402353   0.7850511  -0.6106924
  0.17470421  1.3083074   0.00551553 -0.9690257   0.18557063 -0.26251435
 -0.6429863  -0.06073395  0.4161639   0.3496961  -0.30932283 -0.2772574
  0.02220188 -0.26303622 -0.30960333  0.13213967 -0.00376577 -0.82361084
 -0.10936144 -0.17279503  0.4198538  -0.19553016  0.14358608  0.23717561
  0.34605616 -0.737894    0.08286758 -0.39070785 -0.34762624  0.36174342
  0.05754166  0.53701234 -0.14966309 -0.21935362  0.25149378  0.23757648
  0.06143244  0.09654658  0.62522084  0.6102588   0.08456756  0.48714164
 -0.39636117  0.24461776  0.21987125 -0.50408614  0.12212163 -0.11636026
 -0.5075872   0.02943656  0.20332387  0.13876261 -0.17917669  0.13400018
 -0.25153482  0.4167113   0.06692603  0.0601206  -0.38074213  0.53778887
  0.38602632  0.4853983  -0.33547738  0.22920717 -0.265957    0.29470807
  0.37428793  0.01317554  0.6978661  -0.3823238   0.01367835  0.18892
 -0.1444882  -0.13620263  0.21821883  0.41651028 -0.35799363 -0.44414383
  0.50138974  0.3705311   0.14680794  0.13480015  0.09190758 -0.33007598
  0.48396182  0.28032127  0.21359815  0.5540354   0.3940285   0.41556948
 -0.25687486 -0.4355411  -0.019952   -0.1368558 ]",-0.4186108499799213,0.5823153733604662,0.5402840286910612,0.41533460030131586,0.23633688228794855,0.2083632822386087,0.25170139872712466,0.252183488796699,0.14403282778313747,-0.042597716248297585,-0.14038634384157242,-0.11951891428773027,-0.006975849670129965,-0.4558513133208255,-0.4062340172430659,-0.47101137281814537,-0.49316117600279874,-0.6201104862016128,-0.6923623588729141,-0.6641903363091878,-0.6559353951538166,-0.6994655731709498,-0.5897276951444202,-0.46058891772817834,-0.41032262165983013,-0.4888205879717875,-0.6117113842491204,-0.6793065225421401,-0.7141548268278587,-0.7520560643137909,-0.7546419863276651,-0.7303126232566668,-0.7322012368413103,-0.7560670688548944,-0.6752315250456954,-0.5821681254766219,-0.6443478495524507,-0.7164733436862,"{'neutral': 0.44223228096961975, 'negative': 0.08166404813528061, 'positive': 0.47610363364219666}"
6,./data/audio/caller/4413490f33f34e54.wav,caller,uhm two thirty p m,"[ 3.3474714e-01  2.3394179e-01 -1.5284117e-01  5.7954276e-01
 -4.0829462e-01 -3.4588671e-01  6.2672991e-01  3.6548507e-01
 -1.6087766e-01 -2.9547286e-01 -2.3383273e-01 -5.2850991e-01
  3.7529969e-01  9.3402639e-03  1.8693328e-02  7.5322993e-02
 -4.5341183e-02 -2.7723774e-01  1.7054687e-01 -2.5713247e-01
  4.9720481e-01 -2.4185985e-01  1.5411073e-01 -1.6384233e-02
 -2.4337681e-01 -1.8930723e-01 -1.0155183e-01 -2.1560775e-01
 -7.5219430e-02  1.1723934e-02 -5.1860068e-02  1.4908576e-01
  5.5233592e-01 -1.8512762e-01 -1.5283514e-02  4.2924455e-01
  4.2508417e-01  1.4560610e-01 -3.7416738e-01 -5.3404979e-02
  1.6175009e-02  9.4263241e-02  5.7813153e-04 -3.0478185e-01
  8.2747966e-02 -2.2653294e-01 -3.0925669e-02 -4.3280262e-01
  6.1435002e-01 -4.5147993e-02  2.9339141e-01 -4.8005617e-01
  4.4534471e-02 -2.7835885e-01 -4.3209665e-02  1.4663585e-01
 -6.4140029e-02  1.1116114e-01 -6.2477994e-01  3.1249326e-01
 -2.1680333e-01 -1.8390149e-02  1.4030541e-01 -7.9686143e-02
 -1.1987120e-01  4.9838075e-01 -1.5775235e-01 -2.2201361e-03
 -3.7787902e-01  1.3992754e-01 -3.5004193e-01  2.5499079e-01
  3.7553382e-01 -3.2977599e-01  4.9527526e-01  1.2349758e-01
  2.3474970e-01 -1.2345773e-01 -1.6584589e-01  4.0440720e-01
 -2.1811345e-01  1.6212669e-01 -3.4344047e-01  2.2935125e-01
 -6.1992675e-01 -1.4092362e-01  1.3797091e-01  4.3052959e-01
  5.2659947e-01  1.4529149e-01  3.2093030e-01  2.2953191e-01
 -4.3455297e-01 -3.6973622e-02  4.4842362e-01 -2.9355145e-01
 -2.6929963e-01 -8.2964845e-02  1.1897278e-01  1.1576877e-01]",-0.6433537769974732,0.8313731263667922,0.5923369992619195,0.3972431974079222,0.3325680393521622,0.37770382767932126,0.39599520804198196,0.40847602526892796,0.4296127781079291,0.41389512187669303,0.38295758966776977,0.3986642028942762,0.46139169067146985,-0.31206117483489737,-0.48469813574436077,-0.5042436448591144,-0.4482629667422801,-0.5430705988359108,-0.6280213423817606,-0.6735376226685673,-0.683267160889692,-0.6548661740123922,-0.5997090611112887,-0.6128603541808096,-0.6479946280813168,-0.6609735882392266,-0.6427552932002402,-0.6570930133622374,-0.6239914642335483,-0.6598849119013881,-0.6815156280428377,-0.6839823609307717,-0.6539662963563986,-0.5599165778583693,-0.5042450366145833,-0.6599642212972477,-0.7597199632254233,-0.6851479570106361,"{'neutral': 0.5601603388786316, 'negative': 0.1194624975323677, 'positive': 0.3203772008419037}"
7,./data/audio/agent/4413490f33f34e54.wav,agent,your appointment has been scheduled for thursday at two thirty p m,"[ 0.42283034  0.2658626  -0.16873766  0.33488855 -0.25166664 -0.36869624
  0.56157213  0.54928833 -0.07747606 -0.50319666 -0.18435502 -0.41458282
  0.10098321 -0.06867782  0.06364986  0.1234728  -0.06397703 -0.30016357
  0.19171323 -0.22882664  0.29150164 -0.31315473  0.07829254 -0.13064142
 -0.177679   -0.2605322  -0.02262556 -0.18917222  0.03886921  0.19748913
  0.03115779 -0.00961532  0.55623597 -0.24140786 -0.10354225  0.37285486
  0.3455241   0.4167625  -0.35901424 -0.05445277 -0.04552643  0.24378826
  0.07335669 -0.25537884  0.09564602 -0.11101172  0.00823894 -0.18856704
  0.3792182   0.05985363  0.308167   -0.53830457  0.00998078 -0.22251582
 -0.23461403  0.03731999 -0.00368163  0.05974076 -0.6577069   0.34902284
 -0.34116492  0.0917142   0.16026904 -0.00303882 -0.21595462  0.52686626
 -0.01001213  0.01072163 -0.3658274   0.05361329 -0.35608193  0.35657993
  0.33786163 -0.32727087  0.62522155  0.00959026  0.28201637 -0.08801661
 -0.10204075  0.3987927  -0.03917417  0.26117688 -0.17691322 -0.01882649
 -0.40731493 -0.04630795  0.08759644  0.4180005   0.44324422  0.06770515
  0.4191064   0.25907245 -0.39848325  0.07757922  0.4130286  -0.23596539
 -0.3516769  -0.21729647  0.20473342  0.1819439 ]",-0.44093745727635625,0.6933991564109085,0.47184243405802423,0.3601738102544803,0.28899782843064153,0.17824348074146731,0.11288020132593368,0.07430368133789272,0.03300936514475781,-0.055361745299521446,-0.058041801019015855,0.12455507110435278,0.3020827338372866,-0.49833274833274827,-0.2008493051670687,-0.5592332330372297,-0.70436730705914,-0.7153961114705073,-0.6894716204749302,-0.7022957286680276,-0.7104553357276723,-0.6780924363324523,-0.6068723891142501,-0.48481878076715973,-0.5277126586254139,-0.7036088897063651,-0.7883954766000011,-0.7217483480209271,-0.7182146886526185,-0.7853104827153365,-0.8069005437546245,-0.8078302897862194,-0.7953326764647827,-0.7683812689408439,-0.7400620200117848,-0.7387762367017544,-0.7501881764101196,-0.788617524741768,"{'neutral': 0.6137521862983704, 'negative': 0.2394789606332779, 'positive': 0.14676885306835175}"
8,./data/audio/agent/4413490f33f34e54.wav,agent,is there anything else i can help you with,"[-0.02315431 -0.13554737  0.21956511  0.62834334 -0.38516545 -0.5139297
  0.3160918   0.09227114 -0.48942176 -0.2888219   0.15096122 -0.33083355
 -0.0295653   0.1954297  -0.02585526 -0.06052758  0.04737286 -0.49329877
 -0.05112809 -0.69337255  0.0874536   0.34578213  0.440353    0.15635215
 -0.21432702  0.2285912  -0.20474382  0.02162803 -0.21876304 -0.35755268
 -0.09658087  0.11461604  0.541851    0.25461647  0.20687424  0.30548894
  0.15973319 -0.2565038  -0.26166353 -0.20226385 -0.14204983 -0.12534276
 -0.69503736  0.31204876 -0.02059805  0.22626235 -0.4592154  -0.15296495
  0.05799465  0.29041383 -0.17956555  0.28054684  0.0224977  -0.14120619
  0.5933248  -0.22221595 -0.13079403 -0.18030167 -0.19365336  0.32983723
 -0.4082081  -0.07724606  0.21563232 -0.11331896 -0.11342573 -0.08146395
 -0.37611762  0.21783535 -0.06342182 -0.00702493  0.07263143  0.6197639
 -0.0668399  -0.26103738  0.49174798  0.24096291  0.3030258  -0.27304173
 -0.00483765 -0.10817564 -0.22170703  0.17377037 -0.06564683  0.7066948
 -0.44347897 -0.22250724  0.2408455   0.77782273  0.4727188   0.12782358
 -0.03682603  0.3704984   0.31345072  0.36605617  0.3217554   0.04348768
  0.11130571  0.064545    0.4614625  -0.10544432]",-0.3614616425705527,0.5268457520515237,0.2518063521962397,0.1501179242985274,0.18075023775295154,0.27040314545303845,0.37208425703369546,0.43287803590374246,0.07723661741990333,-0.1386764233206336,-0.1737835399924265,-0.18248345810434854,-0.1976608279708958,0.08255786208542111,-0.13157177573391912,-0.4718297102757209,-0.6474948485814881,-0.7030223093484894,-0.6834573432503078,-0.6618362344034501,-0.6663566319165481,-0.2842130688527334,-0.3270224684900597,-0.5484621052313778,-0.6175677579253084,-0.35136100885622684,-0.7722659073316062,-0.7537909859866545,-0.71500065888692,-0.6749420340034686,-0.694896235947208,-0.7174436339088914,-0.6659535792723322,-0.7419772362394802,-0.6888117973776047,-0.6369950259028068,-0.6052815684603302,-0.567993807520741,"{'neutral': 0.35591256618499756, 'negative': 0.0814802274107933, 'positive': 0.5626071691513062}"
9,./data/audio/caller/4413490f33f34e54.wav,caller,no it's actually all i need for today thank you,"[-0.23564091 -0.02776172  0.04883431 -0.10254396  0.08693396 -0.23255344
  0.04509567  0.50031936 -0.4977122  -0.12427408 -0.16189316 -0.45736784
 -0.12630692  0.11069523  0.18541113  0.09569824  0.09655844 -0.08311375
 -0.02235369 -0.52146804 -0.00132238  0.32875726  0.30328384 -0.25176388
  0.09032226  0.24091701 -0.20766468 -0.0623321  -0.29975545 -0.03768425
  0.15230098 -0.19975004 -0.03770677 -0.2729577  -0.12850697  0.31820273
 -0.07095842 -0.2541633  -0.01751818 -0.23922272  0.27594954 -0.38955417
 -0.323291    0.35836914  0.25724345 -0.18215398 -0.19182682 -0.14753534
 -0.00215971  0.09007323  0.02593335 -0.17202213  0.22965074 -0.14485002
  0.0607329   0.06522261  0.09900139 -0.03207842  0.05916851  0.08302248
  0.16479203 -0.19017732  0.26142722  0.03343108 -0.18654533  0.36225092
  0.28646785  0.698959   -0.08215453  0.39606833  0.12470265 -0.02344872
  0.3732106   0.24331388  0.08910779  0.3241118   0.10908625 -0.04343041
 -0.01488716 -0.28557736 -0.27536017 -0.10045067 -0.19213665  0.336891
 -0.05920508 -0.14166039  0.14802724 -0.03919204  0.01999885 -0.06129958
  0.33268332  0.2681848   0.26470304 -0.07915125  0.5441638   0.5005765
  0.40360704 -0.03037447  0.13601823 -0.2117829 ]",-0.45957120028566056,0.8333333333333334,0.7798440042382674,0.5504741427630344,0.3635256719773238,0.2603088212616733,0.23974694055793822,0.24731124886355818,0.2570014331356603,0.2786172315903181,0.31272104958716396,0.3739863582660014,0.45644190509618393,-0.34164617726261565,-0.2898700796124027,-0.2401002191272504,-0.5347552949509168,-0.43278212747477385,-0.5717964872877209,-0.5862209290862533,-0.6697657924433922,-0.6366328018854334,-0.6774105579552009,-0.7045783039447616,-0.6824029007933269,-0.6836952944891982,-0.9999999999999994,-0.7579769067824458,-0.768109383817991,-0.6916298251978228,-0.6247081277475423,-0.6533374571817931,-0.6970183124643556,-0.7403808921898465,-0.7591301838094752,-0.7356699861271244,-0.687162054967124,-0.7689854232255035,"{'neutral': 0.32370615005493164, 'negative': 0.04004104807972908, 'positive': 0.636252760887146}"
